,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Check,Month,Year,Day_Perc_Change,Trend,moving_21,std_dev,std_2,upper,lower
13,13,HEROMOTOCO,EQ,2017-06-01,3745.45,3742.0,3815.0,3708.8,3730.0,3733.35,3776.56,451621,1705571882.15,37325,279018,61.78,ok,6,2017,-0.3230586444886385,Slight or No change,3627.7678571428564,8.555992052350444,17.111984104700888,3636.323849195207,3619.211865090506
14,14,HEROMOTOCO,EQ,2017-06-02,3733.35,3758.8,3857.5,3750.0,3849.95,3849.75,3827.99,570351,2183296767.4,35344,275420,48.29,ok,6,2017,3.117843223914174,Among top gainers,3651.6464285714283,82.30722933011292,164.61445866022584,3733.953657901541,3569.3391992413153
15,15,HEROMOTOCO,EQ,2017-06-05,3849.75,3850.0,3880.55,3821.25,3830.55,3834.95,3847.29,181146,696921627.7,21548,70089,38.69,ok,6,2017,-0.384440548087539,Slight or No change,3667.0428571428565,10.46518036154993,20.93036072309986,3677.5080375044063,3656.5776767813068
17,17,HEROMOTOCO,EQ,2017-06-07,3799.95,3803.85,3856.05,3803.85,3841.0,3843.25,3844.22,426059,1637862448.85,44951,294488,69.12,ok,6,2017,1.139488677482614,Positive,3695.9857142857136,30.617723625374026,61.23544725074805,3726.6034379110874,3665.3679906603397
19,19,HEROMOTOCO,EQ,2017-06-09,3784.45,3796.3,3800.5,3755.6,3786.0,3780.1,3779.46,302560,1143513647.5,19861,198672,65.66,ok,6,2017,-0.11494404735166165,Slight or No change,3726.7321428571418,3.0759144981348068,6.1518289962696135,3729.8080573552766,3723.656228359007
20,20,HEROMOTOCO,EQ,2017-06-12,3780.1,3777.0,3790.0,3760.35,3771.05,3773.25,3779.97,182605,690242211.0,17760,117935,64.58,ok,6,2017,-0.18121213724504592,Slight or No change,3740.17857142857,4.843681451112991,9.687362902225981,3745.022252879683,3735.3348899774574
22,22,HEROMOTOCO,EQ,2017-06-14,3752.5,3764.0,3808.0,3751.05,3781.3,3789.05,3788.77,374661,1419506200.95,39825,260012,69.4,ok,6,2017,0.9740173217854808,Slight positive,3765.0428571428565,25.844752852365822,51.689505704731644,3790.887609995222,3739.198104290491
23,23,HEROMOTOCO,EQ,2017-06-15,3789.05,3786.0,3820.0,3760.0,3774.0,3777.7,3785.08,163019,617039697.15,14888,94856,58.19,ok,6,2017,-0.2995473799501269,Slight or No change,3776.4214285714274,8.025661966457001,16.051323932914002,3784.4470905378844,3768.3957666049705
24,24,HEROMOTOCO,EQ,2017-06-16,3777.7,3798.0,3798.0,3757.8,3780.0,3783.55,3780.53,229485,867574013.0,20613,161061,70.18,ok,6,2017,0.1548561293909012,Slight or No change,3784.832142857142,4.136574669922262,8.273149339844524,3788.968717527064,3780.69556818722
25,25,HEROMOTOCO,EQ,2017-06-19,3783.55,3790.0,3834.0,3790.0,3830.0,3825.45,3821.75,176591,674886161.8,22384,76227,43.17,ok,6,2017,1.1074255659367482,Positive,3790.9107142857133,29.627774131711924,59.25554826342385,3820.538488417425,3761.2829401540016
30,30,HEROMOTOCO,EQ,2017-06-27,3660.1,3676.0,3711.7,3636.6,3700.0,3695.2,3671.43,365879,1343297828.15,44560,262472,71.74,ok,6,2017,0.9589901915248112,Slight positive,3768.682142857142,24.819448019651293,49.63889603930259,3793.501590876793,3743.862694837491
31,31,HEROMOTOCO,EQ,2017-06-28,3695.2,3681.0,3723.6,3667.05,3688.4,3688.45,3698.43,496312,1835577487.45,40066,364249,73.39,ok,6,2017,-0.18266940896297654,Slight or No change,3757.624999999999,4.772970773024226,9.545941546048452,3762.397970773023,3752.852029226975
32,32,HEROMOTOCO,EQ,2017-06-29,3688.45,3700.0,3735.95,3682.0,3724.5,3716.35,3706.91,384888,1426746550.25,31569,198187,51.49,ok,6,2017,0.7564152963982274,Slight positive,3752.760714285713,19.72827919510728,39.45655839021456,3772.4889934808207,3733.0324350906058
33,33,HEROMOTOCO,EQ,2017-06-30,3716.35,3690.0,3714.75,3665.0,3685.4,3701.35,3687.49,205581,758078830.45,20124,119182,57.97,ok,6,2017,-0.4036218332503672,Slight or No change,3747.135714285713,10.60660171780197,21.21320343560394,3757.742316003515,3736.5291125679114
34,34,HEROMOTOCO,EQ,2017-07-03,3701.35,3688.0,3785.25,3671.4,3770.1,3776.1,3740.38,249649,933782078.1,17602,96380,38.61,ok,7,2017,2.0195334134842646,Positive,3747.339285714285,52.85623189369466,105.71246378738932,3800.1955176079796,3694.48305382059
36,36,HEROMOTOCO,EQ,2017-07-05,3703.35,3700.5,3717.7,3696.8,3701.0,3709.75,3708.94,142509,528557277.0,13756,63523,44.57,ok,7,2017,0.17281650397613646,Slight or No change,3738.1642857142842,4.525483399604859,9.050966799209718,3742.6897691138893,3733.638802314679
37,37,HEROMOTOCO,EQ,2017-07-06,3709.75,3716.05,3745.0,3708.0,3722.8,3725.35,3733.53,161483,602901500.0,17899,83270,51.57,ok,7,2017,0.42051351169216655,Slight or No change,3734.424999999999,11.030865786514092,22.061731573028183,3745.4558657865127,3723.394134213485
39,39,HEROMOTOCO,EQ,2017-07-10,3681.65,3699.55,3740.0,3687.0,3725.2,3731.0,3724.71,43195,160888828.4,3510,20054,46.43,ok,7,2017,1.3404315999619776,Positive,3720.3999999999987,34.89571965155758,69.79143930311515,3755.2957196515563,3685.504280348441
40,40,HEROMOTOCO,EQ,2017-07-11,3731.0,3735.0,3757.3,3735.0,3745.5,3748.3,3751.06,227102,851873451.55,26279,174117,76.67,ok,7,2017,0.4636826588046095,Slight or No change,3716.9214285714274,12.232947314532373,24.465894629064746,3729.15437588596,3704.688481256895
42,42,HEROMOTOCO,EQ,2017-07-13,3718.75,3732.2,3768.0,3731.1,3749.95,3750.95,3757.93,384727,1445775565.05,16231,304453,79.13,ok,7,2017,0.8658823529411608,Slight positive,3714.760714285713,22.768838354209233,45.537676708418466,3737.5295526399223,3691.991875931504
43,43,HEROMOTOCO,EQ,2017-07-14,3750.95,3765.0,3796.0,3738.0,3752.0,3758.05,3767.92,187230,705468246.2,14517,101149,54.02,ok,7,2017,0.1892853810368189,Slight or No change,3721.7571428571423,5.0204581464380045,10.040916292876009,3726.7776010035805,3716.736684710704
44,44,HEROMOTOCO,EQ,2017-07-17,3758.05,3758.05,3785.0,3738.05,3765.0,3764.35,3761.76,131553,494871344.15,8933,72510,55.12,ok,7,2017,0.1676401325155341,Slight or No change,3726.696428571428,4.454772721491026,8.909545442982052,3731.151201292919,3722.241655849937
45,45,HEROMOTOCO,EQ,2017-07-18,3764.35,3755.0,3799.0,3755.0,3780.0,3783.95,3781.79,224796,850131063.55,19334,160601,71.44,ok,7,2017,0.5206742199848513,Slight positive,3733.5178571428564,13.859292911262674,27.71858582252535,3747.3771500541193,3719.6585642315936
46,46,HEROMOTOCO,EQ,2017-07-19,3783.95,3787.0,3795.0,3757.7,3785.0,3770.65,3772.67,464119,1750968158.05,45055,400082,86.2,ok,7,2017,-0.3514845597853977,Slight or No change,3737.3964285714283,9.404520189790333,18.809040379580665,3746.8009487612185,3727.991908381638
49,49,HEROMOTOCO,EQ,2017-07-24,3682.0,3692.0,3725.3,3682.05,3688.25,3692.3,3702.54,236050,873984299.75,21284,172608,73.12,ok,7,2017,0.27973927213471583,Slight or No change,3731.925,7.283199846227095,14.56639969245419,3739.208199846227,3724.641800153773
50,50,HEROMOTOCO,EQ,2017-07-25,3692.3,3725.0,3750.0,3700.0,3700.0,3709.05,3723.7,433381,1613782206.2,36587,290027,66.92,ok,7,2017,0.4536467784307829,Slight or No change,3731.8750000000005,11.84403858487859,23.68807716975718,3743.719038584879,3720.030961415122
51,51,HEROMOTOCO,EQ,2017-07-26,3709.05,3715.0,3745.45,3687.0,3715.5,3717.45,3717.68,366612,1362946036.55,12903,238293,65.0,ok,7,2017,0.22647308610019845,Slight or No change,3731.3107142857148,5.939696961978407,11.879393923956814,3737.250411247693,3725.3710173237364
52,52,HEROMOTOCO,EQ,2017-07-27,3717.45,3727.7,3759.0,3682.0,3711.8,3703.55,3730.08,452512,1687905667.8,32051,307961,68.06,ok,7,2017,-0.3739122247777282,Slight or No change,3732.8750000000005,9.828784258499548,19.657568516999095,3742.7037842585,3723.046215741501
54,54,HEROMOTOCO,EQ,2017-07-31,3630.3,3629.9,3672.9,3605.0,3658.0,3655.75,3639.88,504658,1836894967.45,34281,401554,79.57,ok,7,2017,0.701043990854755,Slight positive,3719.071428571429,17.99586758119941,35.99173516239882,3737.0672961526284,3701.0755609902294
55,55,HEROMOTOCO,EQ,2017-08-01,3655.75,3675.0,3737.65,3668.05,3733.0,3727.85,3698.48,685598,2535667299.4,38264,490478,71.54,ok,8,2017,1.9722355193872556,Positive,3719.721428571429,50.98239892355221,101.96479784710442,3770.7038274949814,3668.7390296478766
56,56,HEROMOTOCO,EQ,2017-08-02,3727.85,3750.0,3838.8,3743.4,3798.0,3802.6,3805.23,828588,3152966310.8,49804,377671,45.58,ok,8,2017,2.005177246938583,Positive,3723.4107142857147,52.856231893698755,105.71246378739751,3776.2669461794135,3670.554482392016
57,57,HEROMOTOCO,EQ,2017-08-03,3802.6,3812.0,3845.0,3772.0,3838.95,3838.35,3822.22,424548,1622714923.9,28086,270104,63.62,ok,8,2017,0.9401462157471174,Slight positive,3729.1464285714287,25.27906742743011,50.55813485486022,3754.425495998859,3703.8673611439986
58,58,HEROMOTOCO,EQ,2017-08-04,3838.35,3836.0,3964.0,3816.4,3944.25,3956.55,3914.33,789172,3089081400.1,44565,462041,58.55,ok,8,2017,3.0794482003986268,Among top gainers,3742.8750000000005,83.58002153625365,167.1600430725073,3826.455021536254,3659.2949784637467
59,59,HEROMOTOCO,EQ,2017-08-07,3956.55,3950.0,4018.9,3927.85,3940.05,3952.7,3971.01,644961,2561148529.4,36236,411225,63.76,ok,8,2017,-0.09730699725771784,Slight or No change,3754.928571428572,2.722361107691672,5.444722215383344,3757.6509325362636,3752.2062103208805
62,62,HEROMOTOCO,EQ,2017-08-10,3883.75,3875.0,3945.0,3861.05,3899.0,3889.55,3909.14,303409,1186067074.35,25690,144371,47.58,ok,8,2017,0.14934019954941924,Slight or No change,3790.939285714286,4.101219330972322,8.202438661944644,3795.0405050452587,3786.8380663833136
64,64,HEROMOTOCO,EQ,2017-08-14,3840.9,3850.0,3975.0,3849.5,3950.0,3957.05,3933.9,263329,1035909278.7,23933,136548,51.85,ok,8,2017,3.0240308261084703,Among top gainers,3819.267857142858,82.13045263482218,164.26090526964435,3901.39830977768,3737.1374045080356
65,65,HEROMOTOCO,EQ,2017-08-16,3957.05,3965.1,4044.0,3933.3,4010.35,4022.1,4011.2,475186,1906068220.15,43242,262033,55.14,ok,8,2017,1.643901391187863,Positive,3841.028571428572,45.99729611619296,91.99459223238593,3887.025867544765,3795.031275312379
67,67,HEROMOTOCO,EQ,2017-08-18,3997.85,3983.0,4000.75,3968.5,3974.0,3986.7,3982.0,209351,833635417.65,25853,145509,69.5,ok,8,2017,-0.27889990870092474,Slight or No change,3887.5071428571428,7.88424061028028,15.76848122056056,3895.391383467423,3879.6229022468624
68,68,HEROMOTOCO,EQ,2017-08-21,3986.7,3988.0,4038.3,3950.05,3959.0,3972.05,3987.93,246195,981809145.15,26124,148027,60.13,ok,8,2017,-0.3674718438808955,Slight or No change,3910.1,10.359114344423427,20.718228688846853,3920.459114344423,3899.7408856555767
70,70,HEROMOTOCO,EQ,2017-08-23,3888.05,3927.0,3950.0,3865.6,3897.0,3888.9,3886.72,407757,1584837562.6,26257,300270,73.64,ok,8,2017,0.021861858772398438,Slight or No change,3927.7071428571435,0.6010407650450467,1.2020815300900933,3928.3081836221886,3927.1061020920984
71,71,HEROMOTOCO,EQ,2017-08-24,3888.9,3908.0,3925.0,3870.0,3888.0,3882.65,3893.77,222636,866893012.2,14022,145783,65.48,ok,8,2017,-0.1607138265319219,Slight or No change,3930.8714285714295,4.419417382558143,8.838834765116285,3935.2908459539876,3926.4520111888714
72,72,HEROMOTOCO,EQ,2017-08-28,3882.65,3885.0,3993.95,3838.45,3956.0,3959.2,3951.62,435266,1720007190.65,32321,292831,67.28,ok,8,2017,1.9715915676149052,Positive,3931.0607142857148,54.1290240998403,108.2580481996806,3985.189738385555,3876.9316901858747
73,73,HEROMOTOCO,EQ,2017-08-29,3959.2,3940.0,3980.0,3921.7,3950.0,3945.7,3948.91,397802,1570884043.75,18846,273038,68.64,ok,8,2017,-0.3409779753485553,Slight or No change,3930.5607142857148,9.545941546071436,19.091883092142872,3940.106655831786,3921.0147727396434
74,74,HEROMOTOCO,EQ,2017-08-30,3945.7,3950.0,4015.0,3949.85,3977.4,3988.1,3993.13,261951,1046003736.05,15350,141503,54.02,ok,8,2017,1.0745875256608528,Positive,3935.8964285714287,29.981327522325582,59.962655044651164,3965.877756093754,3905.915101049103
75,75,HEROMOTOCO,EQ,2017-08-31,3988.1,3989.0,4021.0,3968.0,3985.0,3995.1,3999.85,469468,1877802253.8,29406,308984,65.82,ok,8,2017,0.17552217848098015,Slight or No change,3943.85,4.949747468394214,9.899494936788429,3948.7997474683943,3938.9002525316055
76,76,HEROMOTOCO,EQ,2017-09-01,3995.1,4006.0,4091.95,3995.0,4036.05,4048.95,4046.97,388220,1571114355.85,25372,208683,53.75,ok,9,2017,1.3479011789442108,Positive,3955.235714285714,38.07770016690646,76.15540033381292,3993.3134144526207,3917.1580141188074
78,78,HEROMOTOCO,EQ,2017-09-05,3978.9,3994.0,4007.5,3960.0,3962.45,3970.45,3978.0,250627,996994461.4,17579,149408,59.61,ok,9,2017,-0.21237025308502575,Slight or No change,3966.0499999999993,5.9750523011076915,11.950104602215383,3972.025052301107,3960.0749476988917
79,79,HEROMOTOCO,EQ,2017-09-06,3970.45,3953.0,3994.9,3940.0,3947.7,3950.65,3965.11,218970,868240833.9,18732,135263,61.77,ok,9,2017,-0.4986840282587557,Slight or No change,3960.946428571428,14.000714267529466,28.00142853505893,3974.9471428389575,3946.9457143038985
80,80,HEROMOTOCO,EQ,2017-09-07,3950.65,3953.0,4012.5,3953.0,3980.0,3982.9,3992.95,256960,1026029688.5,28512,144893,56.39,ok,9,2017,0.8163213648386902,Slight positive,3959.878571428571,22.804193693287715,45.60838738657543,3982.6827651218587,3937.074377735283
82,82,HEROMOTOCO,EQ,2017-09-11,3956.05,3999.0,3999.95,3936.6,3950.0,3944.5,3956.29,217005,858535627.25,20246,157953,72.79,ok,9,2017,-0.2919578872865647,Slight or No change,3955.7214285714285,8.167083322765102,16.334166645530203,3963.8885118941935,3947.5543452486636
85,85,HEROMOTOCO,EQ,2017-09-14,3893.55,3905.0,3922.0,3884.45,3890.0,3891.25,3900.75,190185,741863585.75,14689,94795,49.84,ok,9,2017,-0.05907205506543445,Slight or No change,3958.871428571428,1.6263455970781855,3.252691194156371,3960.4977741685066,3957.2450829743498
86,86,HEROMOTOCO,EQ,2017-09-15,3891.25,3885.0,3910.0,3870.0,3888.0,3888.0,3887.9,389738,1515261646.8,26966,270902,69.51,ok,9,2017,-0.08352071956312379,Slight or No change,3953.785714285714,2.2980970391038116,4.596194078207623,3956.083811324818,3951.4876172466106
87,87,HEROMOTOCO,EQ,2017-09-18,3888.0,3895.0,3961.4,3895.0,3955.95,3949.9,3943.88,573380,2261344373.45,34953,301990,52.67,ok,9,2017,1.5920781893004057,Positive,3954.0857142857144,43.769909755459594,87.53981951091919,3997.855624041174,3910.315804530255
88,88,HEROMOTOCO,EQ,2017-09-19,3949.9,3970.0,3977.85,3936.8,3945.0,3944.25,3953.34,154125,609308954.7,13074,62636,40.64,ok,9,2017,-0.14304159598977906,Slight or No change,3950.9535714285716,3.995153313828497,7.990306627656994,3954.9487247424004,3946.958418114743
90,90,HEROMOTOCO,EQ,2017-09-21,3856.05,3856.1,3901.55,3811.7,3890.55,3896.4,3872.96,490206,1898548191.95,25976,279486,57.01,ok,9,2017,1.0464075932625327,Positive,3930.125000000001,28.531758620898124,57.06351724179625,3958.656758620899,3901.593241379103
93,93,HEROMOTOCO,EQ,2017-09-26,3755.95,3801.0,3805.35,3742.15,3775.25,3787.75,3778.47,548321,2071811984.1,52440,330736,60.32,ok,9,2017,0.8466566381341689,Slight positive,3889.7571428571437,22.48599564176004,44.97199128352008,3912.2431384989036,3867.2711472153837
95,95,HEROMOTOCO,EQ,2017-09-28,3727.4,3749.0,3779.0,3674.5,3711.8,3740.05,3726.5,789127,2940683469.3,60009,492846,62.45,ok,9,2017,0.3393786553629985,Slight or No change,3856.0785714285726,8.944900782086924,17.889801564173847,3865.0234722106593,3847.133670646486
96,96,HEROMOTOCO,EQ,2017-09-29,3740.05,3734.0,3819.35,3718.25,3782.1,3774.55,3784.05,547536,2071903833.35,44730,339361,61.98,ok,9,2017,0.9224475608614836,Slight positive,3843.939285714287,24.395183950962597,48.790367901925194,3868.33446966525,3819.5441017633243
97,97,HEROMOTOCO,EQ,2017-10-03,3774.55,3840.0,3845.0,3793.8,3806.25,3806.25,3811.64,294342,1121925305.45,26483,176376,59.92,ok,10,2017,0.8398352121444796,Slight positive,3835.8928571428582,22.41528496364048,44.83056992728096,3858.3081421064985,3813.477572179218
98,98,HEROMOTOCO,EQ,2017-10-04,3806.25,3870.0,3870.0,3774.6,3792.0,3794.9,3821.46,388211,1483533201.8,39312,211329,54.44,ok,10,2017,-0.2981937602627216,Slight or No change,3828.8464285714294,8.025661966540786,16.051323933081573,3836.87209053797,3820.820766604889
102,102,HEROMOTOCO,EQ,2017-10-10,3676.4,3690.0,3720.8,3661.2,3692.0,3695.25,3701.5,367529,1360407881.6,36099,215326,58.59,ok,10,2017,0.5127298444130179,Slight positive,3768.678571428572,13.328962825423,26.657925650846,3782.007534253995,3755.349608603149
103,103,HEROMOTOCO,EQ,2017-10-11,3695.25,3701.1,3744.8,3677.6,3681.0,3689.55,3707.22,298989,1108417574.9,32331,151030,50.51,ok,10,2017,-0.1542520803734515,Slight or No change,3756.7857142857147,4.030508652946431,8.061017305892863,3760.816222938661,3752.755205632768
104,104,HEROMOTOCO,EQ,2017-10-12,3689.55,3697.0,3760.65,3694.95,3750.0,3751.0,3730.97,343176,1280380040.05,36086,209389,61.02,ok,10,2017,1.6655147646732038,Positive,3746.4000000000005,43.45171170392846,86.90342340785692,3789.851711703929,3702.948288296072
105,105,HEROMOTOCO,EQ,2017-10-13,3751.0,3757.0,3790.0,3743.2,3765.0,3763.85,3769.09,213882,806140475.2,29166,103632,48.45,ok,10,2017,0.3425753132497933,Slight or No change,3744.4500000000003,9.086322138311608,18.172644276623217,3753.536322138312,3735.3636778616888
106,106,HEROMOTOCO,EQ,2017-10-16,3763.85,3797.7,3805.65,3766.8,3774.0,3776.65,3787.84,261710,991316678.05,35366,128779,49.21,ok,10,2017,0.34007731445195866,Slight or No change,3745.928571428572,9.050966799249181,18.101933598498363,3754.979538227821,3736.877604629323
107,107,HEROMOTOCO,EQ,2017-10-17,3776.65,3785.0,3828.5,3758.8,3800.0,3789.05,3803.83,447594,1702570697.6,28069,177371,39.63,ok,10,2017,0.3283333112679143,Slight or No change,3746.021428571429,8.76812408677288,17.53624817354576,3754.789552658202,3737.2533044846564
109,109,HEROMOTOCO,EQ,2017-10-19,3753.0,3750.0,3759.4,3720.0,3729.9,3735.6,3738.56,24217,90536760.9,2498,6959,28.74,ok,10,2017,-0.4636290967226286,Slight or No change,3747.5321428571433,12.303657992694895,24.60731598538979,3759.835800849838,3735.2284848644485
110,110,HEROMOTOCO,EQ,2017-10-23,3735.6,3792.95,3814.0,3770.0,3792.75,3791.25,3792.11,510178,1934650159.55,51180,297537,58.32,ok,10,2017,1.4897205268230131,Positive,3748.725,39.35049237304562,78.70098474609124,3788.0754923730456,3709.3745076269543
112,112,HEROMOTOCO,EQ,2017-10-25,3755.4,3784.9,3784.9,3717.0,3769.15,3769.65,3751.32,464158,1741205098.25,35511,260773,56.18,ok,10,2017,0.37945358683495467,Slight or No change,3743.289285714286,10.0762716319637,20.1525432639274,3753.3655573462497,3733.2130140823224
113,113,HEROMOTOCO,EQ,2017-10-26,3769.65,3765.7,3787.9,3730.25,3745.4,3750.85,3767.1,357840,1348018038.8,33832,183528,51.29,ok,10,2017,-0.4987200403220538,Slight or No change,3742.9607142857144,13.293607486349602,26.587214972699204,3756.254321772064,3729.667106799365
114,114,HEROMOTOCO,EQ,2017-10-27,3750.85,3764.0,3815.0,3750.6,3789.9,3786.65,3790.92,328558,1245536041.95,34321,188615,57.41,ok,10,2017,0.9544503245930924,Slight positive,3748.8678571428577,25.31442276649987,50.62884553299974,3774.1822799093575,3723.553434376358
115,115,HEROMOTOCO,EQ,2017-10-30,3786.65,3813.95,3841.5,3801.65,3833.0,3833.0,3829.85,244919,938004190.55,20682,170174,69.48,ok,10,2017,1.2240370776279708,Positive,3760.053571428572,32.77439930800919,65.54879861601837,3792.8279707365814,3727.2791721205626
116,116,HEROMOTOCO,EQ,2017-10-31,3833.0,3857.0,3870.05,3821.7,3853.75,3849.9,3851.31,307237,1183266037.0,32236,162910,53.02,ok,10,2017,0.4409079050352149,Slight or No change,3771.100000000001,11.950104602079332,23.900209204158664,3783.05010460208,3759.1498953979217
120,120,HEROMOTOCO,EQ,2017-11-06,3689.05,3675.5,3715.0,3661.85,3683.25,3688.85,3695.98,290004,1071848749.3,38481,186649,64.36,ok,11,2017,-0.005421449966802605,Slight or No change,3767.675,0.1414213624320009,0.2828427248640018,3767.8164213624323,3767.533578637568
121,121,HEROMOTOCO,EQ,2017-11-07,3688.85,3695.25,3729.1,3675.0,3678.05,3681.5,3696.46,303030,1120137512.85,29910,164011,54.12,ok,11,2017,-0.1992490884692999,Slight or No change,3759.9928571428572,5.1972348418916,10.3944696837832,3765.190091984749,3754.7956223009655
